股票代號,股票名稱,掃描時間,是否符合,最新價位,最近一日交易量,三大法人5日各別買賣超,三大法人5日買賣超,勝率最高方案,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,進場Key,出場Key,股票代號,currently_status
1233,天仁,2026-09-08 04:29:28,True,27.85,12 張,-3(37%)/-6(55%)/+1(7%)/-17(59%)/-5(35%),-30(39%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] KD且RSI大於70且在BBAND中線以上出場,13,76.9%,0.67%,3.23%,-3.22%,1.55,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場,1233,🟢 已滿足進場條件
1436,華友聯,2026-09-08 04:29:29,True,37.35,126 張,+16(18%)/+4(6%)/+32(26%)/-36(30%)/-50(35%),-34(6%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,7,71.4%,0.43%,1.97%,-4.41%,2.29,站上60T進場,碰觸20T(布林中線)以上出場,1436,🟢 已滿足進場條件
1476,儒鴻,2026-09-08 04:29:30,True,300.0,1935 張,-41(9%)/+648(58%)/+304(35%)/-334(20%)/-519(26%),+58(1%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,6,83.3%,0.25%,2.57%,-7.23%,3.72,站上60T進場,布林通道觸頂出場,1476,🟢 已滿足進場條件
1504,東元,2026-09-08 04:29:30,True,70.7,3948 張,-2882(49%)/-1799(24%)/+846(17%)/-528(12%)/-1135(28%),-5498(21%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,28.48%,39.54%,21.19%,9.74,碰觸BBAND下緣進場,乖離率大於15%停利出場,1504,🟢 已滿足進場條件
1529,樂事綠能,2026-09-08 04:29:31,True,15.8,501 張,-68(24%)/-136(23%)/-95(19%)/-88(22%)/-160(30%),-547(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,7,71.4%,1.76%,14.44%,-11.93%,7.85,站上60T進場,布林通道觸頂出場,1529,🟢 已滿足進場條件
1597,直得,2026-09-08 04:29:32,True,144.5,1662 張,-828(14%)/-842(14%)/+86(1%)/-621(11%)/-518(30%),-2723(10%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,37,83.8%,2.23%,13.89%,-32.44%,6.93,碰觸BBAND下緣進場,站上60T出場,1597,🟢 已滿足進場條件
1733,五鼎,2026-09-08 04:29:33,True,31.3,85 張,+10(8%)/+46(29%)/+58(24%)/-58(22%)/-25(28%),+31(4%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,7,85.7%,1.72%,4.65%,-2.66%,2.38,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1733,🟢 已滿足進場條件
1783,和康生,2026-09-08 04:29:34,True,37.9,11 張,-9(10%)/-7(22%)/-22(31%)/-5(6%)/-4(34%),-47(17%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] KD且RSI大於70且在BBAND中線以上出場,5,100.0%,2.08%,4.49%,0.7%,1.42,站上60T進場,KD且RSI大於70且在BBAND中線以上出場,1783,🟢 已滿足進場條件
2059,川湖,2026-09-08 04:29:35,True,12625.0,1003 張,-43(11%)/-95(16%)/-6(1%)/-11(4%)/-334(32%),-489(18%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,56.74%,142.61%,-2.78%,57.85,碰觸BBAND下緣進場,乖離率大於15%停利出場,2059,🟢 已滿足進場條件
2102,泰豐,2026-09-08 04:29:35,True,17.75,131 張,+4(3%)/+96(22%)/+34(19%)/-54(14%)/-33(23%),+47(4%),[進] 60分K之KD且RSI<20 且 站上5T進場；[出] KD且RSI大於70且在BBAND中線以上出場,3,100.0%,2.79%,4.19%,1.57%,1.32,站上5T進場,KD且RSI大於70且在BBAND中線以上出場,2102,🟢 已滿足進場條件
2103,台橡,2026-09-08 04:29:35,True,25.45,11239 張,-1050(21%)/+87(2%)/-124(4%)/-3061(44%)/-3551(28%),-7699(24%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,33,78.8%,0.34%,7.16%,-14.38%,3.98,碰觸BBAND下緣進場,站上60T出場,2103,🟢 已滿足進場條件
2101,南港,2026-09-08 04:29:35,True,30.75,1376 張,+506(41%)/+258(23%)/-96(13%)/-854(57%)/-506(35%),-692(11%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.04%,2.21%,-0.65%,0.97,站上60T進場,碰觸20T(布林中線)以上出場,2101,🟢 已滿足進場條件
2233,宇隆,2026-09-08 04:29:36,True,162.0,358 張,-17(4%)/-60(13%)/+77(17%)/+71(21%)/-110(30%),-39(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,5,80.0%,24.9%,47.19%,-8.28%,22.08,碰觸BBAND下緣進場,乖離率大於15%停利出場,2233,🟢 已滿足進場條件
2301,光寶科,2026-09-08 04:29:37,True,290.5,12651 張,+4471(10%)/-7563(20%)/+5590(21%)/-10079(42%)/-3514(27%),-11095(7%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,22.75%,35.53%,7.49%,14.18,碰觸BBAND下緣進場,乖離率大於15%停利出場,2301,🟢 已滿足進場條件
2313,華通,2026-09-08 04:29:37,True,229.0,28953 張,-37(0%)/+795(3%)/+5301(10%)/-21015(38%)/-9644(32%),-24600(13%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,30,70.0%,0.55%,13.93%,-13.64%,5.63,碰觸BBAND下緣進場,站上60T出場,2313,🟢 已滿足進場條件
2345,智邦,2026-09-08 04:29:38,True,1955.0,4649 張,-767(23%)/-587(22%)/-346(17%)/+17(1%)/-1585(33%),-3268(22%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 站上60T出場,36,80.6%,2.86%,21.04%,-9.26%,5.61,碰觸BBAND下緣進場,站上60T出場,2345,🟢 已滿足進場條件
2367,燿華,2026-09-08 04:29:39,True,41.65,1862 張,+603(22%)/-403(11%)/+758(21%)/-699(23%)/-523(28%),-264(2%),[進] 60分K之KD且RSI<20 且 碰觸BBAND下緣進場；[出] 乖離率大於15%停利出場,3,100.0%,41.17%,46.43%,35.88%,5.28,碰觸BBAND下緣進場,乖離率大於15%停利出場,2367,🟢 已滿足進場條件
2417,圓剛,2026-09-08 04:29:41,True,38.45,663 張,+218(49%)/-64(10%)/+24(6%)/-830(54%)/-242(35%),-894(24%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,19,84.2%,2.11%,9.96%,-12.11%,5.42,站上60T進場,碰觸20T(布林中線)以上出場,2417,🟢 已滿足進場條件
2483,百容,2026-09-08 04:29:43,True,32.0,852 張,+166(21%)/-212(24%)/+96(11%)/-51(10%)/-206(24%),-207(5%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 碰觸20T(布林中線)以上出場,6,83.3%,1.31%,5.84%,-2.86%,2.98,站上60T進場,碰觸20T(布林中線)以上出場,2483,🟢 已滿足進場條件
2498,宏達電,2026-09-08 04:29:43,True,40.6,2173 張,-87(1%)/-778(6%)/-2071(22%)/-1108(27%)/-652(28%),-4696(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,9,77.8%,3.1%,11.61%,-6.43%,5.28,站上60T進場,布林通道觸頂出場,2498,🟢 已滿足進場條件
2486,一詮,2026-09-08 04:29:43,True,245.5,4274 張,+909(13%)/-5482(16%)/-2273(18%)/-768(12%)/-1534(35%),-9148(14%),[進] 60分K之KD且RSI<20 且 站上60T進場；[出] 布林通道觸頂出場,11,90.9%,6.43%,15.25%,-3.22%,5.66,站上60T進場,布林通道觸頂出場,2486,🟢 已滿足進場條件
