日期,股票代號,股票名稱,最新交易日股價,最近一日交易量,交易次數,勝率,平均投資報酬率,最高投資報酬率,最低投資報酬率,標準差,連續X天,進場條件,出場條件
2026-06-11,1312,國喬,12.8,5583 張,6,83.3%,3.17%,7.31%,-7.16%,5.45,1,站上60T進場,布林通道觸頂出場
2026-06-11,1449,佳和,14.2,1342 張,6,100.0%,3.33%,5.53%,1.4%,1.63,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-11,1447,力鵬,6.22,1518 張,10,80.0%,1.77%,9.18%,-5.85%,3.8,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,1467,南緯,7.49,112 張,5,80.0%,1.15%,2.65%,0.0%,1.06,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-11,1587,吉茂,27.6,294 張,9,77.8%,2.98%,12.97%,-4.07%,4.84,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-11,1721,三晃,22.6,1780 張,7,85.7%,15.04%,42.36%,-37.17%,26.38,1,直接進場,乖離率大於15%停利出場
2026-06-11,1762,中化生,35.55,1851 張,9,77.8%,1.98%,11.4%,-11.85%,6.14,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,1809,中釉,48.1,5924 張,8,75.0%,17.29%,38.39%,-26.84%,22.31,1,站上60T進場,乖離率大於15%停利出場
2026-06-11,2314,台揚,14.85,150 張,8,75.0%,0.48%,13.05%,-20.66%,9.63,1,站上60T進場,布林通道觸頂出場
2026-06-11,2316,楠梓電,153.5,2098 張,5,100.0%,40.81%,94.19%,14.8%,32.96,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-11,2357,華碩,781.0,3410 張,31,71.0%,0.2%,10.1%,-21.25%,6.58,1,碰觸BBAND下緣進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,2405,輔信,18.15,2957 張,35,77.1%,1.35%,7.92%,-25.12%,5.87,1,碰觸BBAND下緣進場,站上60T出場
2026-06-11,2427,三商電,22.1,442 張,9,88.9%,2.08%,6.52%,-1.97%,2.39,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-11,2455,全新,320.0,7063 張,3,100.0%,42.18%,50.48%,26.5%,13.59,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-11,2468,華經,40.4,1131 張,5,80.0%,12.04%,46.87%,-9.42%,21.38,1,站上60T進場,乖離率大於15%停利出場
2026-06-11,2543,皇昌,46.65,1615 張,4,100.0%,32.55%,55.9%,14.14%,19.49,1,碰觸BBAND下緣進場,乖離率大於15%停利出場
2026-06-11,3032,偉訓,82.2,1087 張,9,77.8%,0.67%,10.05%,-17.74%,7.63,1,站上60T進場,碰觸20T(布林中線)以上出場
2026-06-11,3231,緯創,152.5,32222 張,28,71.4%,0.81%,6.97%,-12.37%,4.56,1,碰觸BBAND下緣進場,站上60T出場
2026-06-11,3057,喬鼎,18.85,283 張,7,71.4%,1.72%,12.68%,-13.93%,8.57,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,3055,蔚華科,79.7,841 張,3,100.0%,6.41%,13.88%,2.21%,6.49,1,站上5T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,3311,閎暉,37.1,447 張,20,80.0%,1.3%,4.27%,-2.37%,1.88,1,碰觸BBAND下緣進場,布林通道觸頂出場
2026-06-11,3209,全科,61.7,2248 張,10,90.0%,2.41%,9.22%,-4.02%,3.9,1,站上60T進場,KD且RSI大於70且在BBAND中線以上出場
2026-06-11,3376,新日興,203.5,5131 張,13,84.6%,2.19%,7.13%,-8.35%,3.79,1,站上60T進場,碰觸20T(布林中線)以上出場
