股票代號,股票名稱,今日股價,9K,9D,5T_RSI,10T_RSI,交易總次數,策略勝率 (%),平均單次利潤 (%),最佳單次利潤 (%),最差單次利潤 (%),獲利標準差,備註
1435,中福,12.85,11.42,22.2,19.8,23.85,5,60.0,6.2,28.55,-9.49,14.93,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1536,和大,50.9,17.27,23.53,18.79,34.13,22,54.5,-0.73,17.39,-31.15,11.18,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
1589,永冠-KY,5.54,3.05,8.71,14.5,21.6,14,21.4,-11.61,6.37,-42.49,14.03,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
1582,信錦,107.5,9.48,19.67,13.49,27.31,23,69.6,0.58,11.97,-20.99,7.35,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
1727,中華化,91.2,7.35,13.62,8.28,25.74,24,70.8,4.95,33.33,-19.76,11.8,無
1736,喬山,111.5,5.93,8.42,15.17,27.43,25,68.0,3.98,20.0,-15.94,8.27,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2303,聯電,125.0,12.51,10.16,17.95,25.17,24,75.0,2.39,16.77,-14.73,5.67,⭐近10T KD黃金交叉
2332,友訊,16.55,17.03,25.5,18.27,40.48,23,56.5,-0.16,12.96,-29.35,9.93,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2367,燿華,62.1,4.62,7.98,13.45,20.51,16,43.8,0.2,23.67,-24.05,12.35,無
2375,凱美,145.5,7.72,17.42,15.65,32.05,30,66.7,1.35,20.77,-16.49,7.89,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
2401,凌陽,28.05,12.3,25.14,11.28,23.52,22,63.6,1.66,15.08,-22.68,9.19,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2417,圓剛,48.55,6.39,9.53,17.72,30.3,29,69.0,3.56,23.11,-21.78,9.9,無
2436,偉詮電,71.8,12.47,16.71,16.23,23.61,24,50.0,0.9,18.3,-22.27,10.58,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2464,盟立,170.0,15.53,14.82,8.99,29.03,26,69.2,5.61,26.76,-20.39,10.51,⭐近10T KD黃金交叉
2466,冠西電,44.75,13.15,25.56,17.42,28.11,15,73.3,3.15,24.8,-31.2,14.58,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2485,兆赫,66.0,8.08,10.13,17.28,23.12,23,69.6,2.09,26.44,-20.88,11.67,⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
2606,裕民,69.5,11.82,21.77,17.77,32.57,28,78.6,3.38,14.44,-18.67,7.7,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
2548,華固,99.6,3.15,4.93,15.54,18.31,16,56.2,0.18,11.2,-20.13,7.46,無
2612,中航,55.6,16.41,24.98,19.18,29.83,20,65.0,0.99,13.13,-13.69,6.39,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3006,晶豪科,244.5,10.43,22.29,18.71,35.82,21,61.9,2.71,23.55,-27.2,12.13,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3025,星通,70.1,12.06,25.97,17.55,29.64,28,67.9,3.02,20.05,-24.06,9.23,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3035,智原,192.0,9.51,13.73,12.52,23.39,24,45.8,-0.66,13.78,-21.11,8.54,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3229,晟鈦,46.65,18.88,16.79,19.14,34.36,13,61.5,1.61,21.4,-25.0,13.59,⭐近10T KD黃金交叉
3338,泰碩,81.6,5.95,14.96,18.37,41.18,22,68.2,1.72,15.51,-18.7,10.18,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
3443,創意,4415.0,11.1,24.28,18.72,32.02,28,71.4,3.06,13.1,-24.42,9.62,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3532,台勝科,290.0,7.87,15.64,17.62,29.31,23,56.5,0.56,22.06,-21.38,10.8,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
3545,敦泰,56.4,10.32,21.13,11.93,25.06,22,59.1,-1.82,12.32,-22.42,10.67,⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
3588,通嘉,60.5,7.34,13.17,16.65,30.54,22,59.1,0.01,15.99,-24.13,11.39,⚠️近10T RSI死亡交叉
3652,精聯,34.3,4.54,9.06,16.48,36.69,14,57.1,-1.3,15.67,-24.2,11.41,無
3661,世芯-KY,4355.0,11.23,17.0,15.74,29.34,29,69.0,2.49,21.37,-32.56,12.11,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
4912,聯德控股-KY,95.6,7.62,10.48,13.43,24.14,25,76.0,2.57,13.3,-32.18,9.65,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉
4989,榮科,92.7,4.2,6.7,7.63,20.03,24,58.3,2.11,24.1,-18.2,10.98,無
5234,達興材料,391.0,10.5,16.2,15.22,24.08,23,69.6,3.5,16.63,-18.93,10.85,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
5243,乙盛-KY,119.0,19.91,36.77,17.68,33.24,19,68.4,0.64,18.04,-34.33,12.7,⚠️近10T KD死亡交叉、⚠️近10T RSI死亡交叉
6168,宏齊,26.6,13.16,18.82,15.85,28.43,23,78.3,2.6,16.32,-28.35,8.84,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
6753,龍德造船,124.0,16.28,16.7,17.88,32.95,17,41.2,1.15,24.29,-23.39,12.26,⭐近10T KD黃金交叉、⚠️近10T KD死亡交叉、⭐近10T RSI黃金交叉、⚠️近10T RSI死亡交叉
